视频号,回肠末端,盲肠,升结肠,结肠肝曲,横结肠,结肠脾曲,降结肠,乙状结肠,直肠,肛管,备注,总帧数,视频时长_lb,视频时长(秒),设备型号
1,0:00-0:09,0:10-0:48,0:49-1:22,1:23-1:39,1:40-2:26,2:27-2:45,2:46-4:15,4:16-4:56,4:57-5:45,5:46-5:54,1,21279,354,354.63,CF-HQ290I
2,0:00-0:07,0:08-1:21,1:22-2:05,2:06-2:08,2:09-2:49,2:50-2:56,2:57-4:24,4:25-5:19,5:20-5:30,5:31-5:53,1,21207,353,353.43,CF-H290I
3,0:00-0:11,0:12-0:30,0:31-1:39,1:40-1:46,1:47-3:54,3:55-4:00,4:01-5:44,5:45-6:21,6:22-6:47,6:48-7:15,1,26138,435,435.62,CF-Q260AI
5,0:00-0:08,0:09-0:16,0:17-2:04,2:05-11:36,11:37-12:34,12:35-13:07,13:08-14:46,14:47-15:45,15:46-16:13,16:14-16:18,1,58703,978,978.37,CF-H290I
6,0:00-0:09,0:10-0:26,0:27-1:36,1:37-2:09,2:10-4:43,4:44-5:06,5:07-5:47,5:48-7:23,7:24-8:03,8:04-8:13,1,33959,493,565.97,CF-HQ290I
7,0:00-0:10,0:11-0:30,0:31-1:01,1:02-1:09,1:10-2:28,2:29-2:31,2:32-2:41,2:42-3:01,3:02-3:14,3:15-3:26,1,12384,206,206.38,CF-Q260AI
11,0:00-0:16,0:24-0:32,0:17-0:23/ 0:33-1:06,1:07-1:22,1:23-3:39,3:40-3:45,3:46-4:02,4:03-4:23,4:24-5:14,5:15-5:18,0,19137,318,318.93,CF-H290I
13,0:00-0:15,0:16-0:29,0:30-1:03,1:04-1:09,1:10-4:34,4:35-4:47,4:48-6:18,6:19-8:11,8:12-8:42,8:43-8:53,1,31985,533,533.07,CF-HQ290I
14,0:00-0:18/ 0:26-0:40,0:22-0:25/ 0:41-0:42,0:19-0:21/ 0:42-2:08,2:09-2:19,2:20-2:44,2:45-2:51,2:52-3:25,3:26-4:13,4:14-5:46,5:47-5:58,0,21485,358,358.07,CF-H290I
15,0:00-0:09,0:10-0:19,0:20-0:49,0:50-0:53,0:54-3:12,3:13-3:16,3:17-3:34,3:35-4:04,4:05-4:19,4:20-4:25,1,15917,265,265.27,CF-HQ290I
